Year,Month,Day,Inflow [GWh]
2003,1,1,0.872034
2003,1,2,0.980375
2003,1,3,1.16109
2003,1,4,1.32839
2003,1,5,1.42631
2003,1,6,1.46471
2003,1,7,1.46742
2003,1,8,1.45548
2003,1,9,1.43428
2003,1,10,1.40529
2003,1,11,1.37167
2003,1,12,1.33399
2003,1,13,1.29509
2003,1,14,1.25972
2003,1,15,1.22867
2003,1,16,1.19862
2003,1,17,1.16968
2003,1,18,1.14011
2003,1,19,1.10963
2003,1,20,1.07889
2003,1,21,1.04914
2003,1,22,1.02300
2003,1,23,0.999638
2003,1,24,0.978246
2003,1,25,0.957421
2003,1,26,0.936865
2003,1,27,0.918252
2003,1,28,0.902938
2003,1,29,0.892375
2003,1,30,0.886088
2003,1,31,0.881094
2003,2,1,0.875290
2003,2,2,0.867603
2003,2,3,0.861040
2003,2,4,0.858108
2003,2,5,0.856058
2003,2,6,0.853538
2003,2,7,0.850025
2003,2,8,0.845044
2003,2,9,0.838389
2003,2,10,0.829571
2003,2,11,0.818319
2003,2,12,0.806429
2003,2,13,0.792787
2003,2,14,0.777749
2003,2,15,0.762062
2003,2,16,0.745904
2003,2,17,0.729033
2003,2,18,0.711917
2003,2,19,0.694837
2003,2,20,0.677090
2003,2,21,0.659603
2003,2,22,0.641302
2003,2,23,0.623952
2003,2,24,0.606102
2003,2,25,0.587793
2003,2,26,0.569336
2003,2,27,0.551592
2003,2,28,0.533638
2003,3,1,0.516932
2003,3,2,0.501698
2003,3,3,0.489991
2003,3,4,0.481239
2003,3,5,0.473954
2003,3,6,0.466956
2003,3,7,0.460666
2003,3,8,0.454563
2003,3,9,0.448370
2003,3,10,0.442032
2003,3,11,0.435821
2003,3,12,0.430857
2003,3,13,0.426737
2003,3,14,0.423081
2003,3,15,0.418676
2003,3,16,0.412429
2003,3,17,0.406059
2003,3,18,0.398332
2003,3,19,0.389915
2003,3,20,0.381727
2003,3,21,0.373124
2003,3,22,0.363761
2003,3,23,0.353500
2003,3,24,0.341149
2003,3,25,0.327875
2003,3,26,0.315035
2003,3,27,0.302207
2003,3,28,0.289690
2003,3,29,0.278216
2003,3,30,0.266510
2003,3,31,0.256374
2003,4,1,0.246487
2003,4,2,0.237651
2003,4,3,0.229522
2003,4,4,0.223429
2003,4,5,0.218149
2003,4,6,0.212822
2003,4,7,0.208103
2003,4,8,0.203093
2003,4,9,0.198784
2003,4,10,0.194649
2003,4,11,0.190582
2003,4,12,0.186516
2003,4,13,0.181524
2003,4,14,0.176388
2003,4,15,0.170522
2003,4,16,0.163743
2003,4,17,0.156964
2003,4,18,0.150020
2003,4,19,0.144134
2003,4,20,0.138394
2003,4,21,0.133257
2003,4,22,0.128203
2003,4,23,0.123534
2003,4,24,0.119551
2003,4,25,0.115372
2003,4,26,0.111815
2003,4,27,0.108883
2003,4,28,0.106201
2003,4,29,0.103613
2003,4,30,0.101647
2003,5,1,0.100320
2003,5,2,0.0986152
2003,5,3,0.0976581
2003,5,4,0.0970188
2003,5,5,0.0957732
2003,5,6,0.0948500
2003,5,7,0.0948870
2003,5,8,0.0936576
2003,5,9,0.0934338
2003,5,10,0.0918968
2003,5,11,0.0917321
2003,5,12,0.0908397
2003,5,13,0.0901327
2003,5,14,0.0898697
2003,5,15,0.0891806
2003,5,16,0.0891583
2003,5,17,0.0883676
2003,5,18,0.0871140
2003,5,19,0.0881232
2003,5,20,0.0880834
2003,5,21,0.0884887
2003,5,22,0.0896278
2003,5,23,0.0910062
2003,5,24,0.0935066
2003,5,25,0.0960069
2003,5,26,0.0983851
2003,5,27,0.101179
2003,5,28,0.103244
2003,5,29,0.105682
2003,5,30,0.106352
2003,5,31,0.106366
2003,6,1,0.106438
2003,6,2,0.106233
2003,6,3,0.105586
2003,6,4,0.105444
2003,6,5,0.105419
2003,6,6,0.104066
2003,6,7,0.103875
2003,6,8,0.103687
2003,6,9,0.102310
2003,6,10,0.102061
2003,6,11,0.101977
2003,6,12,0.100246
2003,6,13,0.100142
2003,6,14,0.0994167
2003,6,15,0.0985871
2003,6,16,0.0971711
2003,6,17,0.0964036
2003,6,18,0.0955926
2003,6,19,0.0947613
2003,6,20,0.0939092
2003,6,21,0.0932642
2003,6,22,0.0916619
2003,6,23,0.0909781
2003,6,24,0.0901046
2003,6,25,0.0885846
2003,6,26,0.0876498
2003,6,27,0.0862350
2003,6,28,0.0854622
2003,6,29,0.0837572
2003,6,30,0.0828828
2003,7,1,0.0820529
2003,7,2,0.0807385
2003,7,3,0.0800119
2003,7,4,0.0792215
2003,7,5,0.0787679
2003,7,6,0.0783953
2003,7,7,0.0777138
2003,7,8,0.0773220
2003,7,9,0.0773672
2003,7,10,0.0769737
2003,7,11,0.0764118
2003,7,12,0.0757463
2003,7,13,0.0751828
2003,7,14,0.0737893
2003,7,15,0.0723759
2003,7,16,0.0719574
2003,7,17,0.0703355
2003,7,18,0.0688253
2003,7,19,0.0673343
2003,7,20,0.0657160
2003,7,21,0.0646118
2003,7,22,0.0636121
2003,7,23,0.0627387
2003,7,24,0.0611779
2003,7,25,0.0603031
2003,7,26,0.0594284
2003,7,27,0.0586137
2003,7,28,0.0577602
2003,7,29,0.0569260
2003,7,30,0.0568450
2003,7,31,0.0559290
2003,8,1,0.0551367
2003,8,2,0.0548869
2003,8,3,0.0533473
2003,8,4,0.0525925
2003,8,5,0.0517000
2003,8,6,0.0507844
2003,8,7,0.0496823
2003,8,8,0.0484250
2003,8,9,0.0478458
2003,8,10,0.0463251
2003,8,11,0.0454278
2003,8,12,0.0443833
2003,8,13,0.0434991
2003,8,14,0.0425406
2003,8,15,0.0417165
2003,8,16,0.0407149
2003,8,17,0.0404651
2003,8,18,0.0390916
2003,8,19,0.0387767
2003,8,20,0.0382541
2003,8,21,0.0377120
2003,8,22,0.0372640
2003,8,23,0.0367741
2003,8,24,0.0362733
2003,8,25,0.0357725
2003,8,26,0.0350246
2003,8,27,0.0348751
2003,8,28,0.0348751
2003,8,29,0.0340004
2003,8,30,0.0333740
2003,8,31,0.0332478
2003,9,1,0.0332475
2003,9,2,0.0330801
2003,9,3,0.0330784
2003,9,4,0.0330572
2003,9,5,0.0327018
2003,9,6,0.0330150
2003,9,7,0.0323256
2003,9,8,0.0323462
2003,9,9,0.0323236
2003,9,10,0.0323849
2003,9,11,0.0324461
2003,9,12,0.0324667
2003,9,13,0.0330758
2003,9,14,0.0326145
2003,9,15,0.0332837
2003,9,16,0.0322429
2003,9,17,0.0328858
2003,9,18,0.0328862
2003,9,19,0.0328862
2003,9,20,0.0323027
2003,9,21,0.0322011
2003,9,22,0.0320337
2003,9,23,0.0320353
2003,9,24,0.0314505
2003,9,25,0.0314279
2003,9,26,0.0313887
2003,9,27,0.0311832
2003,9,28,0.0311396
2003,9,29,0.0308584
2003,9,30,0.0308381
2003,10,1,0.0305771
2003,10,2,0.0304549
2003,10,3,0.0305591
2003,10,4,0.0305591
2003,10,5,0.0305419
2003,10,6,0.0306013
2003,10,7,0.0307445
2003,10,8,0.0307272
2003,10,9,0.0309126
2003,10,10,0.0318309
2003,10,11,0.0322288
2003,10,12,0.0331462
2003,10,13,0.0337819
2003,10,14,0.0344390
2003,10,15,0.0350886
2003,10,16,0.0354204
2003,10,17,0.0357103
2003,10,18,0.0365851
2003,10,19,0.0366270
2003,10,20,0.0373569
2003,10,21,0.0375017
2003,10,22,0.0376372
2003,10,23,0.0380633
2003,10,24,0.0381477
2003,10,25,0.0385635
2003,10,26,0.0387294
2003,10,27,0.0388744
2003,10,28,0.0395206
2003,10,29,0.0396767
2003,10,30,0.0398322
2003,10,31,0.0402689
2003,11,1,0.0403719
2003,11,2,0.0408295
2003,11,3,0.0410255
2003,11,4,0.0415658
2003,11,5,0.0422206
2003,11,6,0.0428427
2003,11,7,0.0434649
2003,11,8,0.0442978
2003,11,9,0.0445861
2003,11,10,0.0447712
2003,11,11,0.0456868
2003,11,12,0.0458734
2003,11,13,0.0467017
2003,11,14,0.0467841
2003,11,15,0.0470724
2003,11,16,0.0475081
2003,11,17,0.0479133
2003,11,18,0.0481514
2003,11,19,0.0490019
2003,11,20,0.0498943
2003,11,21,0.0507270
2003,11,22,0.0516793
2003,11,23,0.0524508
2003,11,24,0.0532164
2003,11,25,0.0544642
2003,11,26,0.0557946
2003,11,27,0.0568749
2003,11,28,0.0582456
2003,11,29,0.0595954
2003,11,30,0.0610492
2003,12,1,0.0623373
2003,12,2,0.0638240
2003,12,3,0.0656844
2003,12,4,0.0671910
2003,12,5,0.0683634
2003,12,6,0.0696511
2003,12,7,0.0710201
2003,12,8,0.0721848
2003,12,9,0.0728844
2003,12,10,0.0741133
2003,12,11,0.0747980
2003,12,12,0.0762991
2003,12,13,0.0769969
2003,12,14,0.0801034
2003,12,15,0.0867437
2003,12,16,0.0937600
2003,12,17,0.100859
2003,12,18,0.106527
2003,12,19,0.111779
2003,12,20,0.116761
2003,12,21,0.120884
2003,12,22,0.126128
2003,12,23,0.131527
2003,12,24,0.136146
2003,12,25,0.141293
2003,12,26,0.147270
2003,12,27,0.155982
2003,12,28,0.168110
2003,12,29,0.185020
2003,12,30,0.201908
2003,12,31,0.216472
2004,1,1,0.228636
2004,1,2,0.238171
2004,1,3,0.245903
2004,1,4,0.252476
2004,1,5,0.257827
2004,1,6,0.262905
2004,1,7,0.269324
2004,1,8,0.277367
2004,1,9,0.287266
2004,1,10,0.302346
2004,1,11,0.320594
2004,1,12,0.351812
2004,1,13,0.397824
2004,1,14,0.452621
2004,1,15,0.505287
2004,1,16,0.554051
2004,1,17,0.600921
2004,1,18,0.640030
2004,1,19,0.669569
2004,1,20,0.708396
2004,1,21,0.757057
2004,1,22,0.791479
2004,1,23,0.811496
2004,1,24,0.820002
2004,1,25,0.824103
2004,1,26,0.825155
2004,1,27,0.823973
2004,1,28,0.819193
2004,1,29,0.813125
2004,1,30,0.806554
2004,1,31,0.798428
2004,2,1,0.797859
2004,2,2,0.825397
2004,2,3,0.897909
2004,2,4,0.954608
2004,2,5,0.982629
2004,2,6,0.993347
2004,2,7,0.993962
2004,2,8,0.997018
2004,2,9,1.00703
2004,2,10,1.01700
2004,2,11,1.02286
2004,2,12,1.03307
2004,2,13,1.03723
2004,2,14,1.03416
2004,2,15,1.02689
2004,2,16,1.01591
2004,2,17,1.00239
2004,2,18,0.986350
2004,2,19,0.968352
2004,2,20,0.949232
2004,2,21,0.927967
2004,2,22,0.905850
2004,2,23,0.883275
2004,2,24,0.860489
2004,2,25,0.839092
2004,2,26,0.818556
2004,2,27,0.800259
2004,2,28,0.782494
2004,2,29,0.765955
2004,3,1,0.749437
2004,3,2,0.733781
2004,3,3,0.718530
2004,3,4,0.704339
2004,3,5,0.690570
2004,3,6,0.678510
2004,3,7,0.667884
2004,3,8,0.657992
2004,3,9,0.648144
2004,3,10,0.639440
2004,3,11,0.630442
2004,3,12,0.620799
2004,3,13,0.611626
2004,3,14,0.601867
2004,3,15,0.592361
2004,3,16,0.582185
2004,3,17,0.572031
2004,3,18,0.559352
2004,3,19,0.545919
2004,3,20,0.533709
2004,3,21,0.524198
2004,3,22,0.517789
2004,3,23,0.512745
2004,3,24,0.509156
2004,3,25,0.507072
2004,3,26,0.504535
2004,3,27,0.500978
2004,3,28,0.497840
2004,3,29,0.492316
2004,3,30,0.484463
2004,3,31,0.473224
2004,4,1,0.460076
2004,4,2,0.445395
2004,4,3,0.429485
2004,4,4,0.416737
2004,4,5,0.403412
2004,4,6,0.392647
2004,4,7,0.384726
2004,4,8,0.378673
2004,4,9,0.373534
2004,4,10,0.370187
2004,4,11,0.368312
2004,4,12,0.367148
2004,4,13,0.366132
2004,4,14,0.365502
2004,4,15,0.362635
2004,4,16,0.358014
2004,4,17,0.351728
2004,4,18,0.343917
2004,4,19,0.336964
2004,4,20,0.329982
2004,4,21,0.324131
2004,4,22,0.317910
2004,4,23,0.311472
2004,4,24,0.306017
2004,4,25,0.301771
2004,4,26,0.296284
2004,4,27,0.289547
2004,4,28,0.282808
2004,4,29,0.276424
2004,4,30,0.269699
2004,5,1,0.264992
2004,5,2,0.259099
2004,5,3,0.254928
2004,5,4,0.250506
2004,5,5,0.246561
2004,5,6,0.243303
2004,5,7,0.240412
2004,5,8,0.239026
2004,5,9,0.239678
2004,5,10,0.241046
2004,5,11,0.243972
2004,5,12,0.245632
2004,5,13,0.247007
2004,5,14,0.248362
2004,5,15,0.249674
2004,5,16,0.250635
2004,5,17,0.250966
2004,5,18,0.249136
2004,5,19,0.246904
2004,5,20,0.242825
2004,5,21,0.238338
2004,5,22,0.234704
2004,5,23,0.230966
2004,5,24,0.227291
2004,5,25,0.223614
2004,5,26,0.219772
2004,5,27,0.216035
2004,5,28,0.212544
2004,5,29,0.208202
2004,5,30,0.202277
2004,5,31,0.196997
2004,6,1,0.191884
2004,6,2,0.188226
2004,6,3,0.184571
2004,6,4,0.181447
2004,6,5,0.178242
2004,6,6,0.176474
2004,6,7,0.174037
2004,6,8,0.170814
2004,6,9,0.167467
2004,6,10,0.163533
2004,6,11,0.161351
2004,6,12,0.158877
2004,6,13,0.156985
2004,6,14,0.154871
2004,6,15,0.152821
2004,6,16,0.151452
2004,6,17,0.150372
2004,6,18,0.148578
2004,6,19,0.147415
2004,6,20,0.146252
2004,6,21,0.145231
2004,6,22,0.144088
2004,6,23,0.143173
2004,6,24,0.142506
2004,6,25,0.142222
2004,6,26,0.142222
2004,6,27,0.141708
2004,6,28,0.141004
2004,6,29,0.139864
2004,6,30,0.139657
2004,7,1,0.138288
2004,7,2,0.137562
2004,7,3,0.136880
2004,7,4,0.135595
2004,7,5,0.134747
2004,7,6,0.133529
2004,7,7,0.133828
2004,7,8,0.133045
2004,7,9,0.133508
2004,7,10,0.134418
2004,7,11,0.135209
2004,7,12,0.136287
2004,7,13,0.137866
2004,7,14,0.139468
2004,7,15,0.140487
2004,7,16,0.142384
2004,7,17,0.142944
2004,7,18,0.143571
2004,7,19,0.144037
2004,7,20,0.144965
2004,7,21,0.146288
2004,7,22,0.147989
2004,7,23,0.148660
2004,7,24,0.149082
2004,7,25,0.150511
2004,7,26,0.151576
2004,7,27,0.151830
2004,7,28,0.152315
2004,7,29,0.151590
2004,7,30,0.150107
2004,7,31,0.148601
2004,8,1,0.145456
2004,8,2,0.143960
2004,8,3,0.141505
2004,8,4,0.138127
2004,8,5,0.136933
2004,8,6,0.133638
2004,8,7,0.131351
2004,8,8,0.128936
2004,8,9,0.125750
2004,8,10,0.122517
2004,8,11,0.120183
2004,8,12,0.117185
2004,8,13,0.115332
2004,8,14,0.113108
2004,8,15,0.112052
2004,8,16,0.110621
2004,8,17,0.110712
2004,8,18,0.110686
2004,8,19,0.111492
2004,8,20,0.115892
2004,8,21,0.121213
2004,8,22,0.126964
2004,8,23,0.133004
2004,8,24,0.138889
2004,8,25,0.143363
2004,8,26,0.148117
2004,8,27,0.154360
2004,8,28,0.160723
2004,8,29,0.165850
2004,8,30,0.173224
2004,8,31,0.179568
2004,9,1,0.185896
2004,9,2,0.191947
2004,9,3,0.196056
2004,9,4,0.197792
2004,9,5,0.199442
2004,9,6,0.198355
2004,9,7,0.197220
2004,9,8,0.196026
2004,9,9,0.194829
2004,9,10,0.191986
2004,9,11,0.189476
2004,9,12,0.186925
2004,9,13,0.184625
2004,9,14,0.182283
2004,9,15,0.180131
2004,9,16,0.178603
2004,9,17,0.176741
2004,9,18,0.174799
2004,9,19,0.172834
2004,9,20,0.170748
2004,9,21,0.168950
2004,9,22,0.167866
2004,9,23,0.166138
2004,9,24,0.165827
2004,9,25,0.166118
2004,9,26,0.166889
2004,9,27,0.168518
2004,9,28,0.169874
2004,9,29,0.172000
2004,9,30,0.173420
2004,10,1,0.175089
2004,10,2,0.176715
2004,10,3,0.178316
2004,10,4,0.180042
2004,10,5,0.181681
2004,10,6,0.184201
2004,10,7,0.185693
2004,10,8,0.187271
2004,10,9,0.188596
2004,10,10,0.189790
2004,10,11,0.190195
2004,10,12,0.189898
2004,10,13,0.189666
2004,10,14,0.189265
2004,10,15,0.188327
2004,10,16,0.187905
2004,10,17,0.187486
2004,10,18,0.187360
2004,10,19,0.186737
2004,10,20,0.186294
2004,10,21,0.186921
2004,10,22,0.187857
2004,10,23,0.189607
2004,10,24,0.190829
2004,10,25,0.191948
2004,10,26,0.193325
2004,10,27,0.194340
2004,10,28,0.195719
2004,10,29,0.196462
2004,10,30,0.198249
2004,10,31,0.199783
2004,11,1,0.201734
2004,11,2,0.203107
2004,11,3,0.205622
2004,11,4,0.207819
2004,11,5,0.209917
2004,11,6,0.212011
2004,11,7,0.214129
2004,11,8,0.215583
2004,11,9,0.216866
2004,11,10,0.218442
2004,11,11,0.221246
2004,11,12,0.224505
2004,11,13,0.227099
